Week,Title,Date,#,Lecture,Readings,Links,Keywords,Homework,Discussion,Lab,Quiz,Survey
0,Welcome to DSC 10!,Fri 9/27,1,Introduction,CIT 1.0-1.3,https://inferentialthinking.com/chapters/01/what-is-data-science.html,"data science, course structure, policies, syllabus, Little Women demo",,,,,[Welcome Survey](https://forms.gle/3GxRkRjnhSUDaGA46)
1,Python Basics,Mon 9/30,2,Expressions and Data Types,BPD 1-6,https://notes.dsc10.com/01-getting_started/tools.html,"Jupyter notebooks, expressions, variables, assignment, functions, int, float",,1. Getting Started with Jupyter Notebooks,,,
,,Wed 10/2,3,"Strings, Lists, and Arrays","BPD 7-8, CIT 14.1","https://notes.dsc10.com/02-data_sets/arrays.html, https://inferentialthinking.com/chapters/14/1/Properties_of_the_Mean.html#","string methods, mean, median, lists, arrays, array arithmetic",,,,,
,,Thu 10/3,,,,,,,,0. Expressions and Data Types,,
,,Fri 10/4,4,Arrays and DataFrames,BPD 9,https://notes.dsc10.com/02-data_sets/accessing.html,"array methods, np.arange, .read_csv, .get, .assign, .sort_values, .iloc, .loc, index",,,,,
2,DataFrames and Visualization,Mon 10/7,5,Querying and Grouping,BPD 10-11,https://notes.dsc10.com/02-data_sets/querying.html,".set_index, Booleans, querying, .shape, &, |, .take, .groupby, aggregation",,2. Arrays and DataFrames,,,
,,Wed 10/9,6,Grouping and Data Visualization,CIT 7.0-7.1,https://inferentialthinking.com/chapters/07/Visualization.html,".groupby, numerical vs. categorical, scatter plot, line plot, bar chart",,,,1. Quiz 1 covers Lectures 1-4,
,,Thu 10/10,,,,,,,,1. Arrays and DataFrames,,
,,Fri 10/11,7,Distributions and Histograms,CIT 7.2-7.3,https://inferentialthinking.com/chapters/07/2/Visualizing_Numerical_Distributions.html,"distributions, density histograms, binning, total area, overlaid plots",,,,,
,,Sun 10/13,,,,,,"1. Basic Python, Arrays, and DataFrames",,,,
3,Functions and Control Flow,Mon 10/14,8,Functions and Applying,"BPD 6, 12","https://notes.dsc10.com/01-getting_started/functions-defining.html#example, https://notes.dsc10.com/02-data_sets/apply.html","functions, arguments, print vs. return, .apply, .reset_index",,"3. Querying, Grouping, and Plotting",,,
,,Wed 10/16,9,"Grouping on Multiple Columns, Merging","BPD 11, 13","https://notes.dsc10.com/02-data_sets/groupby.html, https://notes.dsc10.com/02-data_sets/merging.html",".groupby([col_1, col_2, …]), subgroups, MultiIndex, .merge, number of rows",,,,,
,,Thu 10/17,,,,,,,,2. Data Visualizations and Functions,,
,,Fri 10/18,10,Conditional Statements and Iteration,CIT 9.0-9.2,https://inferentialthinking.com/chapters/09/Randomness.html,"in, not, and, or, if, else, elif, for-loops, np.append, accumulator pattern",,,,,
,,Sun 10/20,,,,,,"2. DataFrames, Data Visualization, and Functions",,,,
4,Probability and Simulation,Mon 10/21,11,Probability,CIT 9.5,https://inferentialthinking.com/chapters/09/5/Finding_Probabilities.html,"event, conditional prob., multiplication and addition rules, independence",,"4. Functions, DataFrames, and Control Flow",,,
,,Wed 10/23,12,Simulation,CIT 9.3-9.4,https://inferentialthinking.com/chapters/09/3/Simulation.html,"np.random.choice, replacement, np.count_nonzero, coin flipping, Monty Hall",,,,2. Quiz 2 covers Lectures 5-10,
,,Thu 10/24,,,,,,,,"3. DataFrames, Control Flow, and Probability",,Mid-Quarter Survey
,,Fri 10/25,13,Distributions and Sampling,CIT 10.0-10.4,https://inferentialthinking.com/chapters/10/Sampling_and_Empirical_Distributions.html,"probability vs. empirical distribution, SRS, .sample, parameter, statistic",,,,,
,,Sun 10/27,,,,,,"3. DataFrames, Control Flow, and Probability",,,,
5,Midterm Exam,Mon 10/28,14,Midterm Review,,,,,5. Probability and Simulation,,,
,,Wed 10/30,,Midterm Exam covers Lectures 1-12,,,,,,,,
,,Fri 11/1,15,Bootstrapping and Confidence Intervals,CIT 13.0-13.2,https://inferentialthinking.com/chapters/13/Estimation.html,"inference, bootstrapping, resample, np.percentile, confidence interval",,,,,
,,Sun 11/3,,,,,,Midterm Project,,,,
6,Confidence Intervals and the Normal Distribution,Mon 11/4,16,"Confidence Intervals, Center, and Spread",CIT 13.3-13.4,https://inferentialthinking.com/chapters/13/3/Confidence_Intervals.html,"interpreting CIs, robust vs. sensitive, center, standard deviation, Chebyshev",,"6. Sampling, Bootstrapping, and Confidence Intervals",,,
,,Wed 11/6,17,Standardization and the Normal Distribution,CIT 14.2-14.3,https://inferentialthinking.com/chapters/14/2/Variability.html,"Chebyshev, standard units, normal distribution, CDF, inflection points",,,,,
,,Thu 11/7,,,,,,,,"4. Simulation, Sampling, & Bootstrapping",,
,,Fri 11/8,18,The Central Limit Theorem,CIT 14.4-14.5,https://inferentialthinking.com/chapters/14/4/Central_Limit_Theorem.html,"distribution of the sample mean, square root law, CLT-based CIs",,,,,
,,Sun 11/10,,,,,,"4. Simulation, Sampling, Bootstrapping",,,,
7,Central Limit Theorem,Mon 11/11,,No Lecture (Veterans Day 🎖️),,,,,,,,
,,Wed 11/13,19,"Choosing Sample Sizes, Statistical Models","CIT 14.6, 11.1","https://inferentialthinking.com/chapters/14/6/Choosing_a_Sample_Size.html, https://inferentialthinking.com/chapters/11/1/Assessing_a_Model.html","standard deviation of 0s and 1s, np.random.multinomial, Robert Swain jury",,,,"3. Quiz 3 covers Lectures 13, 15-18",
,,Thu 11/14,,,,,,,,5. Variability and the Normal Distribution,,
,,Fri 11/15,20,Hypothesis Testing,CIT 11.3,https://inferentialthinking.com/chapters/11/3/Decisions_and_Uncertainty.html,"null and alternative hypotheses, test statistic, fair or unfair coin",,,,,
,,Sun 11/17,,,,,,5. The Normal Distribution and the Central Limit Theorem,,,,
8,Hypothesis and Permutation Testing,Mon 11/18,21,Hypothesis Testing and Total Variation Distance,"CIT 11.2, 11.4","https://inferentialthinking.com/chapters/11/2/Multiple_Categories.html, https://inferentialthinking.com/chapters/11/4/Error_Probabilities.html","fair or unfair coin, p-value, midterm exam scores, Alameda County jury, TVD",,7. The Normal Distribution and the CLT,,,
,,Wed 11/20,22,"TVD, Hypothesis Testing, and Permutation Testing",CIT 12.0-12.1,https://inferentialthinking.com/chapters/12/Comparing_Two_Samples.html,"confidence intervals for hypothesis testing, body temperature, smoking/babies",,,,,
,,Thu 11/21,,,,,,,,6. Hypothesis Testing,,
,,Fri 11/22,23,Permutation Testing,CIT 12.3,https://inferentialthinking.com/chapters/12/3/Deflategate.html,"smoking/babies, np.random.permutation, shuffling, Deflategate",,,,,
9,Prediction,Mon 11/25,24,Correlation,CIT 15.0-15.2,https://inferentialthinking.com/chapters/15/Prediction.html,"association, correlation coefficient (r), predicting heights, regression line (su)",,,,4. Quiz 4 covers Lectures 19-32),
,,Tue 11/26,,,,,,6. Hypothesis Testing and Permutation Testing,,,,
,,Wed 11/27,25,Regression and Least Squares,CIT 15.2-15.4,https://inferentialthinking.com/chapters/15/2/Regression_Line.html,"regression line in original units, outliers, errors, RMSE, best fit, least squares",,8. Hypothesis Testing and Permutation Testing,,,
,,Fri 11/29,,No Lecture (Thanksgiving 🦃),,,,,,,,
10,Review,Mon 12/2,26,Residuals and Inference,CIT 15.5-16.3,https://inferentialthinking.com/chapters/15/5/Visual_Diagnostics.html,"residuals, residual plots, patterns, datasaurus dozen, prediction intervals",,9. Regression,,,
,,Tue 12/3,,,,,,Final Project,,,,
,,Wed 12/4,27,Review,,,,,,,,
,,Thu 12/5,,,,,,,,7. Regression,,
,,Fri 12/6,28,"Review, Conclusion",,,,,,,,
,,Sun 12/8,,Final Exam (11:30-2:30PM),,,,,,,,SETs and End-of-Quarter Survey (due 8AM)